Original Description,Synthesized Descritpion,Permission,,
Lookup Sexy Singles using our GPS matching system,access location and gps data,LOCATION,,
"Here, current location of user automatically send along with all visit",find your current location and share it with friends,LOCATION,,
Location: Access by checking the customer's location to deliver the information available in the shops,get your location and you can share your location with your friends,LOCATION,,
"Professional near you(based on your geolocation, the nearest professionals will be shown)",find your location and get nearby events locations,LOCATION,,
Book a taxi using the phone's built in GPS to determine your pickup point,find your current location using gps data,LOCATION,,
Place markers on the map to track mushrooms that you have found,the app use gps data of your device,LOCATION,,
Location: Access by checking the customer's location to deliver the information available in the shops,find your current location,LOCATION,,
Other helpful information includes GPS directions,access location and gps data,LOCATION,,
 nearby radio streams on a map,find your current location on the map,LOCATION,,
"one can locate points of interest such as attractions of a utilitarian content, monuments, museums, universities, hospitals, etc
, within a radius of 30 km
 from the location point that your device determines",find your current location to get nearby locations,LOCATION,,
" Each tour with photos, an important selection of points of interest geolocalized on the map",the app uses gps map and to get locations,LOCATION,,
See Nearby malls offer you don?€?t want to miss as per your location,find your location to get nearby events and locations,LOCATION,,
Driving directions from your location,find your current location on the map,LOCATION,,
access gps,access gps data and location,LOCATION,,
"You can select the service (Cleaning, Public Lighting, gardens, etc
), type of incident to report, locate it through GPS your terminal",access location and gps information,LOCATION,,
Location: Access by checking the customer's location to deliver the information available in the shops,find your current location,LOCATION,,
you can easily map all the latest jobs near your current location,use the map to get your current location,LOCATION,,
Some of the functionality features include GPS enabled directions,access gps data,LOCATION,,
"Thanks to the GPS section, you will see all bars microbrew that is around you and get directions for how to get there",find nearest locations based on your current location and gps,LOCATION,,
"After the complete search, the APP will show what is the distance to be traveled, and the route can be traced on the GPS connected to the application",access location and gps data,LOCATION,,
Quickly find the best gas prices nearby and tab to get direction,find your current location to get nearby location and service,LOCATION,,
The main purpose of Location Based services is to provide information to customers based on the knowledge of phone locations,you can get your current location based on gps,LOCATION,,
The Android app also:- captures GPS/geo-coordinates of the scan/tap and sends it with the rest of the data,access location and gps data,LOCATION,,
Search and call for nearest Ambulance during an emergency or for a planned transfers,find the nearest locations based on your current location,LOCATION,,
"Smartly detects your actual position, through GPS data and other information",find your current location using gps data,LOCATION,,
Your location will be taken automatically using GPS,find your current location based on gps,LOCATION,,
"Application is capable of collecting GPS, photos and videos",access location and gps data,LOCATION,,
Electronic visit verification by recording location through GPS,you can track your location with gps data,LOCATION,,
Map and GPS tracking supported,track your location based on real time location map,LOCATION,,
GPS location tracker,you can track your current location on the map with gps,LOCATION,,
"Maps: Search campus buildings by name, pinpoint them on the map, and see their location relative to your own",use the gps map to find your current location,LOCATION,,
"App determines your locations, finds available drivers, lets you know when they arrive",find your current location,LOCATION,,
Maps & Directions: Search for Atrium Health facilities and get driving directions,the app uses location and gps,LOCATION,,
"As you move around your city or travel to other areas, your SIT news feed updates to reflect service provider reviews near your geographical location",find your current location to get nearby locations,LOCATION,,
We process your geolocation information in order to provide you with offers and/or promotions which are based on your location,find your current location based on gps,LOCATION,,
"GPS enabled to find whats nearby, plus an itinerary builder to plan your visit",find your location and get nearby events locations,LOCATION,,
GPS bus tracking system help  parents to see that where the bus is and  he or she is safe,track your location based on real time location map,LOCATION,,
GPS access,access gps data,LOCATION,,
Packed with photos and map locations,find your current location,LOCATION,,
Find a Smashburger closest to your location,find nearest locations based on your current location,LOCATION,,
Campus Maps whether you are new or familiar with the campus all of our landmarks are detailed so you need never miss a class or meeting,find your current location and share your location,LOCATION,,
a new user interface and user targeted content based on the different migration stages and current location of migrant workers,track your location based on gps and location,LOCATION,,
"Receive live notifications about your driver's status, track your driver on a map, and call the driver directly from the app",you can track your current location on the map with gps,LOCATION,,
"receive push notifications on news, events and sometimes adverse weather ",use the weather app to find your current location,LOCATION,,
"Access your itineraries, view pictures of available salons, and get directions to your listing",find nearest locations based on your location and gps,LOCATION,,
"Each route includes maps to guide between different points, images, audio descriptions and GPS function",find your current location on the map,LOCATION,,
Also included is a Dealer Locator with GPS search functionality and contact information for Mercedes-Benz Financial Services,access location and gps data,LOCATION,,
Search & Navigate for service centers like garages and tire shops,find your current location to get nearby locations and service,LOCATION,,
Location: Approaches to communicate the store's valid information by checking customer location,find your current location,LOCATION,,
This app lets you record your trips and plot your location in real time on the Startrack server,track your location based on real time location map,LOCATION,,
Allows fast switching wifi or gps on/off,this app access location and gps data,LOCATION,,
GPS Location tag your photo,you can save your photo with gps location data,LOCATION,,
It also take gps to send location of perticular place of complaint,access gps data,LOCATION,,
access current location,find your current location,LOCATION,,
Use our locator to find the closest Fred Meyer store or fuel center,get nearest locations based on your current location,LOCATION,,
Car Finder helps to locate your car through GPS,find your car location with gps data,LOCATION,,
"Update beacons firmwareThe app works with the Proximity Beacons, Location Beacons, Location Beacons with UWB, Mirror, and Stickers",access location and gps,LOCATION,,
Accurate prayer times based on your location,use location to find your current location and get time,LOCATION,,
Find discounts and deals from several establishments in the city or in your neighbourhood,find your current location to get nearby location and service,LOCATION,,
"Find the nearest location, order through the app & unlock freebies",find nearest locations based on your current location,LOCATION,,
It's a safety and tracking solution for groups using LoRa and GPS technology,access location and gps information,LOCATION,,
GPS-enabled maps that work without a cell/wifi connection and can be custom edited and annotated,the app uses location and gps information,LOCATION,,
"Share stored addresses, current location, phone numbers and email ids with one click",find your current location and share it with friends,LOCATION,,
"Use the GPS facility map to search and find parking, the nearest restroom, food, merchandise, and more",use the gps map to find your location and send your location,LOCATION,,
Discover best local salons near you,find nearest locations based on your current location,LOCATION,,
Car Finder helps to locate your car through GPS,track your location with gps data,LOCATION,,
It comes with detailed walk route maps and powerful navigation features,use the map to find your location,LOCATION,,
See your location on the map with nearby incidents,find your current location to get nearby locations on the map,LOCATION,,
"Unlike other weather apps, you'll get a local forecast that is customized for you",open the weather map based on your current location,LOCATION,,
"This mode is used as loudspeaker, megaphone or microphone. Touch the Start button in the first mode. Speaking into the lower part microphone ",the app uses microphone to record your voice,MICROPHONE,,
"this top app supports recorded speech with high quality audio, smart sermon, voice notes, prayers and personal recordings ",you can use to record with device microphone,MICROPHONE,,
This application allows you to control latest Home Audio and Home Speaker devices,this app uses microphone permission to record your voice,MICROPHONE,,
use audio input such as the microphone,you can record your voice with device microphone,MICROPHONE,,
Microphone: Used to provide recording function,this app uses microphone permission to record audio data,MICROPHONE,,
This app uses the microphone to detect sound and convert it into an SPL value FOR INDICATION ONLY,app uses microphone of your device and measure sound level,MICROPHONE,,
"detect the pitch of notes that picked up by a microphone, and it displays the difference from the fine pitch",app uses your microphone,MICROPHONE,,
record sound from microphone,record your voice from the microphone,MICROPHONE,,
detect human voices and start recording conversation.,external microphone support,MICROPHONE,,
laugh out loud at tom?€?s funny voice,app uses microphone of your device,MICROPHONE,,
simply record yourself saying a phrase and then hear your voice next to the teacher?€?s,you can record your voice with microphone on your phone,MICROPHONE,,
audio recording,app uses microphone to record your voice,MICROPHONE,,
access microphone to have high quality phone calls,the app uses microphone of your device,MICROPHONE,,
"Multimedia Notes - Enrich your tasks with pictures, videos and audio recordings",the app uses microphone permission to record your voice,MICROPHONE,,
"Enrich your to do list tasks by attaching pictures, videos and audio recordings",this app uses microphone of your device you can record to your voice,MICROPHONE,,
make free voice and video calls to your friends and family,the app use microphone of your device microphone,MICROPHONE,,
support voice message,start record message via microphone support,MICROPHONE,,
talk to husky dog and he will repeat everything you say with a funny voice,you can use your device microphone,MICROPHONE,,
"you can apply voice recognition to see what you have talked, and also voice recording function to let you play back what you have spoken",the app uses microphone to record audio,MICROPHONE,,
use microphone to measure noise,sound level detection by microphone,MICROPHONE,,
add a voice note to quickly record meeting notes,the app uses your microphone to record audio,MICROPHONE,,
talk to santa claus and he will repeat everything you say with a funny voice,this app use microphone to record audio data,MICROPHONE,,
you can use the microphone to record a storybook by voice,you can record your voice with microphone,MICROPHONE,,
required to record audio through microphone,the app uses microphone to record your voice,MICROPHONE,,
recording your voice,start record from your microphonne,MICROPHONE,,
listening to audio playbacks,app uses your microphone from device,MICROPHONE,,
our app listen to speech and type notes.,start listen to convert to text using microphone,MICROPHONE,,
record your music and share it,use your microphone to record share with friend,MICROPHONE,,
access device microphone to have audio and video chat.,use device microphone start chat via audio,MICROPHONE,,
send voice messages,recording use microphone send message,MICROPHONE,,
unlimited time to record screen and audio,you can use microphone to record audio,MICROPHONE,,
"video chat, audio chat, instant messaging, this app makes instant messaging fun",this app will use microphone permission,MICROPHONE,,
listen or talk back with built in microphone and speaker,app use your microphone of device,MICROPHONE,,
we collect your audio information,the app uses microphone to record audio,MICROPHONE,,
speak and he repeats what you say in his own funny voice,the app will use your microphone,MICROPHONE,,
record your own voice and apply effects,you can use your microphone start record,MICROPHONE,,
"touch, you can listen to the car audio",access microphone of your device microphone,MICROPHONE,,
place a business-quality video or voice-only call into a business from your android device,the app will use your microphone,MICROPHONE,,
Our app needs access to device microphone.,the app will use device microphone,MICROPHONE,,
Light up the cigarette and start smoking. You need to blow into the microphone to smoke.,the app will use your microphone,MICROPHONE,,
Digital photographic images and audio clips from onboard cameras and microphones can be tagged to specific observations and locations.,this app use microphone you can take pictures and record using microphone of your device microphone,MICROPHONE,,
(Some) external microphone support.,the app will use your microphone,MICROPHONE,,
This application allows you to record any audio using the microphone of your phone.,you can use your microphone of you microphone to record audio,MICROPHONE,,
Allows the APP to make Recordings using the microphone.,you can record your voice with microphone,MICROPHONE,,
This app supports voice recording,you can record use microphone of your device microphone,MICROPHONE,,
This application implements microphone function to take videos.,the app uses your microphone to record video,MICROPHONE,,
Speech to text is so efficient and easy. Simply click the microphone and start recording,you can record your voice with microphone,MICROPHONE,,
"This app uses Administrator Permissions, the features require authorization by the user to access the camera and microphone controls.",the app will use your microphone,MICROPHONE,,
You can record Your practice with Your device?€?s microphone.,record your practice you can record your practice via microphone,MICROPHONE,,
Blow into the microphone to raise the bubble. Set the microphone sensitivity to your blows.,the app uses microphone,MICROPHONE,,
"Scream into your phone's microphone to make the rocket ""jump"".",app will access your microphone,MICROPHONE,,
Record sound clip - Lockwatch will record a 20 second audio clip using the phone's microphone.,this app cann record audio sound using microphone,MICROPHONE,,
"It allows you to record in different formats and extensions (.3gp, .mp4, .m4a, .amr) via bluetooth and via built-in microphone.",app uses microphone to record,MICROPHONE,,
"Echo button grant access to microphone for the echo function (since you press echo camera button may not work in some models until you restart the app, because permissions to access microphone simultaneously are disabled in some models and android versions).",this app uses microphone to record audio,MICROPHONE,,
The app streams audio over your local network allowing anyone with a smartphone to use it as a wireless microphone.,the app uses your microphone to record your voice,MICROPHONE,,
"CUSTOM in this option you can create your own card sets using text notes, pictures, videos and you can use your microphone to use your voice like a card.",this app need access to device microphone record voice using microphone,MICROPHONE,,
This application allow you to use the microphone of your phone as a sound level meter.,sound measure microphone use,MICROPHONE,,
(some) external microphone support,the app can use microphone of your microphone,MICROPHONE,,
(some) external microphone support,record microphone support,MICROPHONE,,
(some) external microphone support,this app will use your microphone,MICROPHONE,,
(some) external microphone support,record microphone support,MICROPHONE,,
(some) external microphone support,app can use microphone permission to record audio,MICROPHONE,,
(some) external microphone support,the app can use microphone of your microphone,MICROPHONE,,
Counts with microphone if the preset noise level exceeds the preset threshold,use microphone detect noise set alarm when threshold reached.,MICROPHONE,,
The app has a sound meter mode that analyzes sound using the microphone.,you can record audio from the microphone,MICROPHONE,,
"If you use the voice recognition feature of the app, the ""allow to record audio"" permission is required so you can speak the commands into the microphone.",you can record your voice using microphone of your device microphone,MICROPHONE,,
Smartphones microphone to measure the sound pressure level.,the app uses your microphone to start to record,MICROPHONE,,
"Click on that microphone and microphone turns green When it is green you can start speaking, In return keyboard will type your voice",press green button microphone will record using microphone from your device,MICROPHONE,,
"Not only the local bird variations but the microphone you use play a large part in identification. That said, by downloading, and defining the birds the app will be able to recognize many of the birds that you record.",you can use your microphone,MICROPHONE,,
Tap the microphone button and Santa Claus repeat what you say.,you can record audio from the microphone,MICROPHONE,,
vSilencer uses your device microphone to sense the environmental noise and alerts you when desired threshold level is reached,use microphone detect noise set alarm when threshold reached.,MICROPHONE,,
"voice and call recorder for Android devices. Use it for record voice memos, talks, music and songs in high quality.",record microphone support use microphone of your device,MICROPHONE,,
Record using your phone's microphoneuse,you can record audio from the microphone,MICROPHONE,,
"all audio input comes from your Android device's microphone. So, avoid using headphones when recording.",this app will use microphone,MICROPHONE,,
"You can set the sensitivity of the microphone and the audio level in the menu. If the audio level is 0, the vibrator is used.",access device microphone you can record to use microphone,MICROPHONE,,
"This kitchen timer, use the recorded voice as an alarm. Will be recorded and then hold the microphone button.",record microphone support,MICROPHONE,,
"Use the on-screen fingerboard, or play your real instrument through the device's microphone.",record your practice with microphone of your device,MICROPHONE,,
In simulation you can use finger to tap screen as a manual process and microphone as a breath simulation. On left part of screen you can show rate of heart massage. After 30 finger clicks you have to make breath twice (blow into microphone).,this app will use microphone,MICROPHONE,,
Output the microphone input of the smartphone from the audio plug. Also at the same time recording.,you can record to use microphone,MICROPHONE,,
Record sound from your microphone.,you can record your voice using your microphone,MICROPHONE,,
Mic Studio app can make a records by a mobile microphone,record using microphone,MICROPHONE,,
"To open all the doors and to comlete the game you also need a complete utilization of your device features and sensors (accelerometer, microphone and more).",this app will use microphone,MICROPHONE,,
"The application functions by picking up sounds using the smart devices microphone then notifying through on screen notifications, vibrations, and flashing lights on your smart device.",you can use microphone to record your voice,MICROPHONE,,
Sound Meter [dB Save] it is displayed in dB using the built-in microphone of the mobile phone apps and shows the amount of ambient noise in decibels. And this app will help you measure the noise of everyday life with easy-to-use.,the app can use the microphone and you can record voice,MICROPHONE,,
"You can use it as a regular dictaphone for record voice notes and memos, speeches, business meetings, interviews, lectures, concerts or anything else!",this app will use microphone,MICROPHONE,,
"Setup Visual Hearing Aid, add on a microphone, and stop wondering if you got the order right.",access microphone support,MICROPHONE,,
Access microphone,this app will use microphone,MICROPHONE,,
"Voice Commands provides the most comfortable way to start navigation. You don't have to type destination on keyboard, just say the address. Favorite addresses can be saved as shortcut commands. Then just click microphone button and say for example ""home"".",the app can use the microphone and use the microphone record your voice,MICROPHONE,,
Use microphone rights to measure the strength of the sound.,the app use microphone of your device,MICROPHONE,,
"Speak to text or audio to text keyboard has a simple mechanism to work, just tap on microphone and start speaking what you need to write and it will change to text by voice, after you are done it will convert it into text",you can record your voice with microphone of your device,MICROPHONE,,
This app will use the phone microphone to measure environmental noise decibels (dB) and show a value for reference.,access your microphone to measure sound level alert reached reference,MICROPHONE,,
Tap and hold the microphone till you speak and release microphone when you are done speaking.,you can use microphone of your microphone to record your voice,MICROPHONE,,
You can record your voice in high quality.,record your voice from the microphone,MICROPHONE,,
Record My Call has a basic purpose to record all your call,the app use microphone of your device to record audio,MICROPHONE,,
Select mp3/music from your mobile or Recordings,app use microphone of your microphone,MICROPHONE,,
Microphone - Record audio from your microphone.,this app will use your microphone to record audio data,MICROPHONE,,
Record audio from your microphone.,this app uses microphone permission to record audio data,MICROPHONE,,
Audio test: microphone and call speaker (earpiece speaker),record microphone support,MICROPHONE,,
Microphone live streaming from your Android device to any streaming music player. Capture sound from your microphone and stream it live,use your microphone you can stream record your voice,MICROPHONE,,
"Option to take photo remotely by making a noise (e.g., voice, whistle), or by voice command ""cheese"".",you can record your voice using microphone,MICROPHONE,,
The app needs record audio permission to use the microphone for speech recognition.,this app will use your microphone,MICROPHONE,,
Voice control calculator will automatically calculate what you say. It's very easy to use and very quick in calculating your voice.,app access microphone record your voice,MICROPHONE,,
"It is a simple voice recorder. To use this application, you need permission to use storage and microphone audio",this app access device microphone you can to record your voice,MICROPHONE,,
"KangaROOS can control LED lights through the mobile phone APP to achieve patterns, text, graffiti, music rhythm, microphone rhythm function.",app need microphone permission,MICROPHONE,,
"Using voice to text Amharic keyboard, you can send voice text to all the messaging application on your phone.",app need microphone permission to record your voice,MICROPHONE,,
Clicking on the microphone icon it will be possible to record the pronunciation of the word using your own voice.,this app uses microphone permission to record your voice,MICROPHONE,,
It also detects the fundamental frequency of the audio (detected by microphone).,the app uses microphone to record audio,MICROPHONE,,
Our app uses microphone resource,record microphone support,MICROPHONE,,
"The application allows you to measure the actual sound pressure level, expressed in decibels, using the phone's microphone.",this app uses microphone on your device,MICROPHONE,,
"In addition, since dB Meter uses the microphone integrated within your device, which was designed to record human voices, it may not be able to precisely measure very loud noises (> 90 dB).",this app uses microphone permission to record your voice,MICROPHONE,,
"Record Video Calls, SMS chat, Phone Calls with just one click. Audio + Video Recording and HD Quality Available.",record audio data using microphone on your device,MICROPHONE,,
"You can record the practice on ""Metrothm"" with the smart-phone's microphone. So you can check the recorded practice. ",record practice with device microphone,MICROPHONE,,
Children can record your voice and Santa Claus repeated that special message. Click the microphone and your voice is recorded. A papa noel then repeats what you've recorded.,the app uses microphone you can to use record your voice,MICROPHONE,,
"Video settings: resolution, frame rate, 4K UHD, external microphone support, video audio recording ",you can record audio from the microphone,MICROPHONE,,
Play by just touching the screen or enable microphone control for the full experience.,record micophone support,MICROPHONE,,
"Use any audio input source for your video: built-in microphone, external (wired) microphone or wireless (Bluetooth) headset.",app need microphone permission to record your voice,MICROPHONE,,
"Record voice notes, rehearsals, classes, memos ",this app uses your microphone to record your voice,MICROPHONE,,
Hearing individuals speak into the microphone. Their speech is transcribed to text and displayed in the note pad.,app use microphone of your microphone to record audio,MICROPHONE,,
you can also record audio from the microphone and it is automatically mixed into the recording.,this app uses microphone permission to record audio data,MICROPHONE,,
Click on microphone and microphone turns green. In return keyboard will type your voice,press button to start record microphone,MICROPHONE,,
"listen to the phone surrounding audio live through your phone's microphone, or take a remote record of microphone ",this app will use device microphone to record your voice,MICROPHONE,,
The lights while recording will tell you how much noise your microphone is capturing.,you can measure sound level with microphone from your device microphone,MICROPHONE,,
For your audio ensure you are using a decent microphone and in area where you have no background noise.,app need microphone permission to record your voice,MICROPHONE,,
"Auto Recorder, starts and stops the record function when sound of a sufficient level is picked up by the microphone.",this app will use microphone permission to record your voice,MICROPHONE,,
"It covert your voice at high volume like a loud speaker mic.?? You can use it for voice chatting, recording, and recognition.",you can use microphone to record your voice,MICROPHONE,,
Tap the MICROPHONE and your voice is RECORDED.,the app uses microphone permission you can use to record your voice,MICROPHONE,,
Access to your device microphone,this app uses microphone of your device,MICROPHONE,,
"The App will use your microphone signal for all demonstrations. Please grant the App access to the microphone when prompted, and enjoy! ",the app you can use your microphone,MICROPHONE,,
The microphone permission is used so that you can request schedule information by speaking a request.,you can use microphone to record your voice,MICROPHONE,,
"Audio Recorder is mostly known as professional, easy voice and call recorder for Android devices. Use it for record voice memos, talks, music and songs in high quality.",the app access microphone of your device microphone to you can use to record your voice,MICROPHONE,,
Record high quality audio from the microphone simultaneously with the phone screen.,you can use microphone use to record your voice,MICROPHONE,,
this app takes control of your microphone.,this app use microphone permission to record audio,MICROPHONE,,
"Record unlimited, high quality audio with Voice Memos using the built-in microphone, your headset, or an external mic.",this app uses microphone permission to record your voice,MICROPHONE,,
"RecordIt is a sound/voice/microphone recorder that lets you record in both 3gpp and wav format, so you can choose your preferred quality.",use your microphone to record your voice,MICROPHONE,,
Select mp3/music from your mobile or recordings,this app uses your microphone,MICROPHONE,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,the app use microphone to record live audio sound,MICROPHONE,,
You can even record live audio and this MP3 editor can edit and trim the best parts from it,this app will use your microphone,MICROPHONE,,
Make your note/diary awesome with images/videos/audios,you can record your voice with device microphone,MICROPHONE,,
Make your note/diary awesome with images/videos/audios,the app use microphone permission to to you can use to record your voice,MICROPHONE,,
It is a smart sound recorder,this app use microphone permission to record sound,MICROPHONE,,
You can use the microphone to test the words in the image,the app uses microphone to record audio,MICROPHONE,,
"Can record video and take pictures in the background, even turn off screen ",this app will use camera and microphone permission,MICROPHONE,,
This application needs to access the microphone to get the pitch you are playing or singing,record your practice using device microphone,MICROPHONE,,
Record your voice using the built-in microphone,app use microphone you can use to record your voice,MICROPHONE,,
Record an audio/music for editing,record audio with microphone,MICROPHONE,,
The sound meter app uses your microphone to measure noise volume in decibels(dB),the app use your microphone,MICROPHONE,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",record your voice using microphone of your microphone,MICROPHONE,,
"Change your voice in real-time after recording -- this voice processor makes your voice sound like a robot, an alien, a baby and many more ",app use microphone and to you can record your voice,MICROPHONE,,
HD Video recording,you can use microphone to record,MICROPHONE,,
Permission to record with microphone for visualization,this app use microphone of your device,MICROPHONE,,
"This is required if your program uses the camera, Bluetooth, audio record, etc ",app will use microphone permission,MICROPHONE,,
"Owing that performance of the microphone will be different for each device, so calibration is needed before use ",this app need access your micophone,MICROPHONE,,
Sound detection mode,this app will use microphone permission,MICROPHONE,,
It can record audio from mic as well during screen record,the app you to use your microphone,MICROPHONE,,
"On Android, your child can view pictures, practice pronunciation compared to recording, learn pictures, and play a memory game ",this app will use microphone,MICROPHONE,,
A very straightforward app that simply transcribes what's spoken to it,you can record your voice from the microphone,MICROPHONE,,
"Displays sound as a stream of color (live, microphone input) ",app use microphone microphone microphone,MICROPHONE,,
Speak; record and listen your words,this app use microphone permission you can use to record your voice,MICROPHONE,,
Record some fun words or phrases,record audio with microphone,MICROPHONE,,
"Easily raise your voice by singing or whistling while your draw, and watch the brush gets thicker or thinner, depends on how loud you are ",this app use microphone permission,MICROPHONE,,
Record directly from your Android device,you can record your voice from the microphone,MICROPHONE,,
This app plays the sound from the devices microphone through the headphones with a configureable delay,use microphone to record sound from your microphone,MICROPHONE,,
SoundCheck evaluates your phone's audio capabilities for playback and recording,this app will use microphone permission to record your voice,MICROPHONE,,
Display any sort of audio from the microphone as a coloured spectrogram,the app can record audio sound using microphone,MICROPHONE,,
So funny recorder you will not stop recording yourself,app you use your device microphone,MICROPHONE,,
"Change your voice in real-time after recording this voice processor makes your voice sound like a robot, an alien, a baby and many more ",record your voice using microphone of your device,MICROPHONE,,
record sound from microphone,this app uses microphone permission to record,MICROPHONE,,
"Record videos or take photos, is up to you ",this app use camera and microphone permission,MICROPHONE,,
"HD filters Camera is a fully-featured free Camera app, with Quick Snap and HD videos ",app uses camera permission to use camera,MICROPHONE,,
The most technically advanced call recorder,access device microphone microphone,MICROPHONE,,
Record your own sounds / voice and combine them into one big symphony with this looper / loop station,the app uses microphone permission to record your voice,MICROPHONE,,
Both the microphone and the speakers can serve as audio input for the relevant patterns,record microphone support,MICROPHONE,,
The application is suitable for practicing sounds in words and sentences,this app uses microphone,MICROPHONE,,
The program will record your voice and then you can compare your pronunciation with a native speaker,you can use microphone to record your voice,MICROPHONE,,
Voice Command Mode: take photo by voice command,record your voice with microphone,MICROPHONE,,
Instant voice record playback,app will use microphone permission to record audio data,MICROPHONE,,
"The sound recorder provides extra-long recordable time, and you can suspend the recording at any time ",this app use microphone of your device microphone,MICROPHONE,,
Microphone : Speech recognition(start recording command),the app uses microphone to record audio,MICROPHONE,,
Make slideshows voiceover with shining and sparky effects and the possibility of adding mp3 background sound,this app use microphone permission to record,MICROPHONE,,
Record pronunciation and add to words as a tag,record your voice with microphone,MICROPHONE,,
receives short duration audio samples from the microphone on your device,external microphone support,MICROPHONE,,
The integrated communication experience of voice calling,this app uses microphone permission,MICROPHONE,,
"The possibility of recording the thoughts of ""observations"" of the verses",you can record audio using device microphone,MICROPHONE,,
"This is the amazing free Call Tooth Fairy Voicemail Game where you can play call Tooth Fairy, listen to her voice message then record & play back a voice message for her just like real!",record your voice with microphone from your phone,MICROPHONE,,
Double click the power button and dial only by speaking the contact?€?s name,the app uses microphone from your device,MICROPHONE,,
Record your own voice/spelling & play back,this app uses microphone permission to record your voice,MICROPHONE,,
Pronounce & Voice Search,you can use microphone to record,MICROPHONE,,
send voice record and talk to anyone,the app use microphone to record audio,MICROPHONE,,
Start it up by voice or an assistive switch Introduces powerful voice commands to answer/reject or hang up phone calls,this app will use microphone permission to record your voice,MICROPHONE,,
Allows kids to simulate calls;- The app record the sounds and play randomly ,app will use microphone permission,MICROPHONE,,
simply say what you want to hear and the advanced voice recognition does the rest!,the app will use microphone permission to record your voice,MICROPHONE,,
Support physical keyboard- Voice Input ,external microphone support,MICROPHONE,,
The basic concept of this application is to convert voice to text,you can record your voice from microphone,MICROPHONE,,
Use the voice keyboard to record the text you want,this app use microphone to record audio,MICROPHONE,,
"This application, can determine the total noise level, and be used as a spectrum analyzer for the microphone signal",you can measure sound level with microphone from your device microphone,MICROPHONE,,
a handy voice recorder tool,you can record voice using microphone,MICROPHONE,,
Recording & Voice Recording mode- Export your recordings to MP3,the app can record voice from microphone,MICROPHONE,,
"start test in your smartphone and ask questions, your voice is recorded ",the app can record voice from microphone,MICROPHONE,,
 Use voice controls,this app use microphone to record audio,MICROPHONE,,
It can record the VoIP call and has build-in voice recorder and player,this app will use microphone permission,MICROPHONE,,
Voice recorder app provides high quality recordings without any limits of time,record your voice from the microphone,MICROPHONE,,
Interpretation function - Interpretation available immediately through voice recognition,this app will use microphone,MICROPHONE,,
Simply hold down the microphone button to record your voice message and release to send,you can use microphone to record your voice,MICROPHONE,,
The microphone audio is used to measure frequency and amplitude and analysis,the app uses microphone and you can record your voice,MICROPHONE,,
You can record and playback your creations,the app will uses microphone permission to record audio,MICROPHONE,,
Call Recorder automatic - record all your calls on auto-pilot,record your voice from the microphone,MICROPHONE,,
"Just download the application, record your voice, choose the effect you want and save it or share it quickly with your contacts and friends",record your voice and share it with your friends,MICROPHONE,,
Recording mode,you can record audio using device microphone,MICROPHONE,,
it works both ways converting speech into text and text into speech,you can use microphone to start record your voice,MICROPHONE,,
Broadcaster: Click on the microphone to start broadcasting immediately,the app uses microphone to record,MICROPHONE,,
"Voice Control - control next button, previous button, submit button and so on with your voice",external microphone support,MICROPHONE,,
You can use your voice for lap signaling (ideal for Radio Control drivers),you can record audio using device microphone,MICROPHONE,,
Record audio notes and even whole lessons/lectures,record audio with microphone,MICROPHONE,,
Record your voice to listen it again,you can use microphone to start record your voice,MICROPHONE,,
record audio,you can record audio using device microphone,MICROPHONE,,
Speak or type any phrase and listen to the corresponding translation in your choice of language,the app uses microphone to record audio,MICROPHONE,,
Microphone (voice recording)-Use this to search books by voice,record microphone support,MICROPHONE,,
you can send personalised messages to people you like,you can send sms and text message,SMS,,
export sms and backup up to 60000+ sms,app use read sms permission to backup and read sms,SMS,,
read and edit your text messages is required to backup and restore text messages,the app uses read sms to read sms and text message,SMS,,
sent sms directly each time you click the widget your message will be ready to send in your default sms app,you can send sms and text message,SMS,,
call and message information: we collect the quantity of messages and calls you send and receive in the moment of the app is running,access your sms on your device app will read sms,SMS,,
push notifications and sms sent when chauffeur arrives,set sms notification and app will send sms,SMS,,
"you can register on jiochat using any mobile number, and then the app will use your mobile network or wi-fi (as available) to let you message, call and watch videos ",you can send sms and text message,SMS,,
send personalized messages -receive email & sms notifications,you can send sms to contacts in your phone,SMS,,
SMS and missed calls notifications on lock screen available,app use receive sms permission,SMS,,
send sms continuously to the saved mobile number in the app,this app will read contact of your contacts list,SMS,,
sms backup & restore/ favorite sms backup into pdf,this app read sms and save as pdf format in storage,SMS,,
it lets you send free text messages,you can send sms and text message,SMS,,
writing sms messages,this app can send text message,SMS,,
reading sms messages,the app read your sms and sms in your phone,SMS,,
"your contacts, the messages, the documents you share, etc manage, edit contacts, send messages, share documents, etc ",you can send sms to contacts in your phone,SMS,,
"read receive sms and backup contacts, sms ",you can send sms and text message,SMS,,
"you can send messages, make voice calls and video calls to each group member ",the app can send sms,SMS,,
send free text message to the cellphone numbers of your loved ones or relatives,the app can send sms,SMS,,
LifeSaver does use text messaging for some features so text messages charges may apply if not included in your current plan,you can send sms and text message,SMS,,
send sms,you can send sms and text message,SMS,,
"Each button can be configured to send sms imediately, dial the number, or ask",send sms and text sms,SMS,,
Send and Receive emails and SMS,you can send sms to contacts in your phone,SMS,,
